epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.945,0.67028,0.94028,1.27605,0.98333,0.44444,0.44263,0.1184,3.26187,2.8777,3.06615,5.001e-05,5.001e-05,5.001e-05
2,50.1955,0.61714,0.84081,1.21012,0.9892,0.44444,0.45624,0.22932,2.46621,2.29723,2.47236,0.00011438,0.00011438,0.00011438
3,76.2895,0.54664,0.79879,1.18933,0.99459,0.44444,0.47336,0.34091,1.39151,1.92159,2.05821,0.000176109,0.000176109,0.000176109
4,102.2,0.50806,0.79009,1.14504,1,0.49527,0.51466,0.38872,0.99412,1.73563,1.93541,0.000235197,0.000235197,0.000235197
5,128.551,0.55627,0.78931,1.15456,1,0.4958,0.51663,0.41285,0.95285,1.6761,1.64649,0.000291645,0.000291645,0.000291645
6,155.441,0.53562,0.80166,1.14246,1,0.49507,0.54725,0.39658,1.21049,1.75439,1.53829,0.000345452,0.000345452,0.000345452
7,182.764,0.55761,0.84373,1.17405,0.94065,0.5,0.74075,0.51304,1.11275,1.6915,1.45485,0.000396619,0.000396619,0.000396619
8,209.949,0.53007,0.75511,1.15321,0.94625,0.5,0.74075,0.63686,0.72457,1.63973,1.3042,0.000445146,0.000445146,0.000445146
9,236.606,0.51334,0.84622,1.1654,0.94593,0.5,0.9895,0.88012,0.56989,1.46297,1.20872,0.000491032,0.000491032,0.000491032
10,269.099,0.52165,0.80685,1.11113,1,0.48814,0.74625,0.62111,0.93989,1.60481,1.30853,0.000534277,0.000534277,0.000534277
11,304.918,0.52177,0.72017,1.13363,0.9963,0.5,0.74625,0.54713,1.18559,1.78357,1.39489,0.000574882,0.000574882,0.000574882
12,332.565,0.45534,0.7146,1.05481,0.94648,0.5,0.73525,0.60174,1.1051,1.7829,1.31813,0.000612846,0.000612846,0.000612846
13,358.091,0.56749,0.7313,1.11497,0.94737,0.5,0.70225,0.65917,0.54517,1.4613,1.08525,0.00064817,0.00064817,0.00064817
14,384.131,0.47364,0.67608,1.09892,0.94745,0.5,0.70225,0.66744,0.45884,1.39365,1.00935,0.000680853,0.000680853,0.000680853
15,408.654,0.64788,1.11069,1.27601,0.94747,0.5,0.70225,0.6494,0.55383,1.36755,0.99045,0.000710895,0.000710895,0.000710895
16,435.167,0.41929,0.78932,1.06794,0.94712,0.5,0.71875,0.65318,0.64902,1.39341,1.00122,0.000738298,0.000738298,0.000738298
17,462.473,0.48782,0.73447,1.1137,0.94712,0.5,0.74075,0.69548,0.52973,1.43882,0.95927,0.000763059,0.000763059,0.000763059
18,488.064,0.44099,0.6534,1.08305,0.94703,0.5,0.64683,0.56203,0.68627,1.40096,0.96108,0.00078518,0.00078518,0.00078518
19,513.535,0.38568,0.60337,1.04203,0.94779,0.5,0.74625,0.63132,0.84933,1.34337,1.07137,0.000804661,0.000804661,0.000804661
