epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6418,3.35393,3.51448,3.27692,0.00539,0.71429,0.06921,0.01403,3.65403,4.41948,4.46515,3.334e-05,3.334e-05,3.334e-05
2,32.3934,3.13047,3.47837,3.24431,0.00526,0.71429,0.22745,0.03632,3.84642,4.11686,4.19411,8.16997e-05,8.16997e-05,8.16997e-05
3,50.3473,2.96424,3.32826,3.09451,0.00554,1,0.3117,0.08769,3.07881,3.68255,3.75482,0.000128079,0.000128079,0.000128079
4,66.4552,2.75104,3.04852,2.8568,0.00429,1,0.39426,0.13463,2.94545,3.44145,3.64214,0.000172478,0.000172478,0.000172478
5,82.4748,2.60708,2.69292,2.73689,0.004,1,0.52358,0.16872,2.95492,3.47299,3.82961,0.000214896,0.000214896,0.000214896
6,101.288,2.10693,2.33916,2.38577,0.00395,1,0.8742,0.21535,2.95969,3.28533,3.6908,0.000255334,0.000255334,0.000255334
7,117.945,1.99841,2.06649,2.25261,0.01977,1,0.69611,0.21327,2.77617,3.06881,3.40223,0.000293792,0.000293792,0.000293792
8,134.222,1.84596,2.05419,2.14071,0.05639,1,0.59467,0.20064,2.65226,3.0553,3.29391,0.000330269,0.000330269,0.000330269
9,150.653,1.63085,1.8433,1.97593,0.16611,1,0.30769,0.10295,2.5398,3.21875,3.27523,0.000364766,0.000364766,0.000364766
10,167.425,1.43716,1.62733,1.86949,0.19945,0.28571,0.29499,0.09617,2.57364,3.34766,3.35535,0.000397283,0.000397283,0.000397283
11,184.03,1.38628,1.5963,1.83543,0.94862,1,0.995,0.26206,2.78344,3.13267,3.70848,0.000427819,0.000427819,0.000427819
12,200.92,1.27787,1.46222,1.74823,1,0.84028,0.9775,0.29179,2.80183,2.8076,3.76527,0.000456375,0.000456375,0.000456375
13,217.766,1.0633,1.23799,1.61283,0.64402,0.85714,0.92409,0.26984,2.42846,2.36971,3.27706,0.00048295,0.00048295,0.00048295
14,234.111,0.93298,1.14289,1.51424,0.99445,1,0.995,0.36243,1.91916,2.40554,2.77439,0.000507545,0.000507545,0.000507545
15,250.313,1.16197,1.34986,1.60766,0.83033,0.70142,0.71144,0.3206,1.25486,2.8764,2.46422,0.000530159,0.000530159,0.000530159
16,266.77,1.05223,1.21222,1.51277,0.01161,1,0.74507,0.41611,1.24926,3.00073,2.50184,0.000550793,0.000550793,0.000550793
17,283.038,1.0012,1.17979,1.47835,0.90216,0.71429,0.89318,0.54526,1.63345,2.4352,2.57309,0.000569447,0.000569447,0.000569447
18,299.445,0.71305,0.97131,1.31635,0.96794,1,0.995,0.59873,1.77376,1.81195,2.49087,0.000586121,0.000586121,0.000586121
19,316.18,0.84974,1.04345,1.3803,0.98904,1,0.995,0.59807,1.61743,1.44489,2.16948,0.000600813,0.000600813,0.000600813
20,332.625,0.63973,1.00946,1.29155,0.99157,1,0.995,0.6965,1.22006,1.39696,1.75359,0.000613526,0.000613526,0.000613526
21,349.022,0.73282,0.94912,1.33448,0.9913,1,0.995,0.77803,0.92356,1.31907,1.54243,0.000624258,0.000624258,0.000624258
22,365.807,0.74334,1.02479,1.34575,0.98982,1,0.995,0.81989,0.79806,1.28982,1.51165,0.00063301,0.00063301,0.00063301
23,382.603,0.72765,1.12658,1.32322,0.98823,1,0.995,0.86522,0.81097,1.36215,1.58267,0.000639781,0.000639781,0.000639781
24,398.787,0.65627,0.90054,1.30428,0.98971,1,0.995,0.81755,0.88386,1.42059,1.71036,0.000644572,0.000644572,0.000644572
25,414.765,0.69935,1.04553,1.28372,0.99044,1,0.995,0.83647,0.85962,1.35936,1.70978,0.000647383,0.000647383,0.000647383
26,431.281,0.65608,0.90996,1.26617,0.99272,1,0.995,0.84113,0.73528,1.15771,1.5493,0.000648213,0.000648213,0.000648213
27,447.922,0.59757,0.90316,1.27552,0.99251,1,0.995,0.8955,0.67775,1.13218,1.32996,0.000647063,0.000647063,0.000647063
28,646.32,0.56186,0.83467,1.19863,0.99278,1,0.995,0.8955,0.67991,1.11767,1.23532,0.000643932,0.000643932,0.000643932
29,662.33,0.52786,0.80329,1.20335,0.99278,1,0.995,0.8955,0.67991,1.11767,1.23532,0.000638821,0.000638821,0.000638821
30,678.544,0.56555,0.82908,1.17575,0.99308,1,0.995,0.8955,0.68528,1.06592,1.19484,0.00063173,0.00063173,0.00063173
31,698.164,0.62229,0.83467,1.28094,0.99304,1,0.995,0.8955,0.62247,1.05315,1.18855,0.000622658,0.000622658,0.000622658
32,715.967,0.46723,0.7698,1.15185,0.99279,1,0.995,0.91004,0.55804,1.06372,1.20016,0.000611606,0.000611606,0.000611606
33,732.905,0.65787,0.93114,1.26859,0.99279,1,0.995,0.91004,0.55804,1.06372,1.20016,0.000598573,0.000598573,0.000598573
34,750.144,0.5719,0.80297,1.17322,0.99252,1,0.995,0.94448,0.42639,1.01433,1.13319,0.000577782,0.000577782,0.000577782
35,768.2,0.54623,0.75885,1.15005,0.99281,1,0.995,0.95757,0.46741,1.00921,1.06119,0.000544776,0.000544776,0.000544776
36,787.152,0.47161,0.75089,1.12031,0.99316,1,0.995,0.8955,0.60362,0.93824,1.06655,0.000511769,0.000511769,0.000511769
37,806.159,0.53203,0.79389,1.21,0.99316,1,0.995,0.8955,0.60362,0.93824,1.06655,0.000478762,0.000478762,0.000478762
38,826.592,0.47775,0.73719,1.16385,0.99337,1,0.995,0.8955,0.72962,0.92175,1.1171,0.000445756,0.000445756,0.000445756
39,852.439,0.3949,0.677,1.09874,0.99334,1,0.995,0.87954,0.76466,0.92835,1.119,0.000412749,0.000412749,0.000412749
40,873.309,0.47902,0.71042,1.13455,0.99318,1,0.995,0.87954,0.78796,0.96392,1.13001,0.000379743,0.000379743,0.000379743
41,893.435,0.60426,1.57131,1.20202,0.99318,1,0.995,0.87954,0.78796,0.96392,1.13001,0.000346736,0.000346736,0.000346736
42,913.78,0.45013,1.47093,1.14379,0.99339,1,0.995,0.8955,0.71434,0.94382,1.04485,0.000313729,0.000313729,0.000313729
43,935.098,0.45749,1.39338,1.12285,0.99341,1,0.995,0.90506,0.54647,0.94122,0.93596,0.000280723,0.000280723,0.000280723
44,957.876,0.38381,1.30724,1.09759,0.99344,1,0.995,0.98104,0.38832,0.8939,0.86857,0.000247716,0.000247716,0.000247716
45,978.257,0.47497,1.3485,1.19168,0.99344,1,0.995,0.98104,0.38832,0.8939,0.86857,0.00021471,0.00021471,0.00021471
46,998.542,0.35509,1.19352,1.07112,0.99341,1,0.995,0.95756,0.31312,0.93841,0.84389,0.000181703,0.000181703,0.000181703
47,1017.48,0.39005,1.21707,1.10972,0.99334,1,0.995,0.91566,0.32184,1.00672,0.8283,0.000148696,0.000148696,0.000148696
48,1036.33,0.34962,1.13989,1.07165,0.99343,1,0.995,0.91003,0.32581,1.02912,0.80166,0.00011569,0.00011569,0.00011569
49,1054.98,0.39585,1.20529,1.14234,0.99343,1,0.995,0.91003,0.32581,1.02912,0.80166,8.26832e-05,8.26832e-05,8.26832e-05
50,1072.34,0.31213,1.14677,1.06992,0.99344,1,0.995,0.91003,0.31369,1.01402,0.77928,4.96766e-05,4.96766e-05,4.96766e-05
